"titles","optimised system(s)","optimised system(s) – details","opt.systems.summary","other systems","integration","type","notes","methods","methods (details)","cat_matches","cat_matches_list","notes","level","level.notes","level_detail","scale","focus"
"Optimisation of sludge pretreatment by low frequency sonication under pressure",,,,,,,,,,,,"CUT",,,,,"other"
"Enhanced decolorization efficiency of acid orange 7 by electric field granular-activated carbon combined system and its statistical optimization by response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Synthesis of an optimal wastewater reuse network",,,,,,,,,,,,"CUT",,,,,"other"
"CFD optimization of continuous stirred-tank (CSTR) reactor for biohydrogen production",,,,,,,,,,,,"CUT",,,,,"other"
"P-graph approach for GDP-optimal allocation of resources, commodities and capital in economic systems under climate change-induced crisis conditions",,,,,,,,,,,,"CUT",,,,,"other"
"Calibration of a growth model for tomato seedlings (TOMSEED) based on heuristic optimisation",,,,,,,,,,,,"CUT",,,,,"other"
"Simulation of transient seawater intrusion in coastal aquifers using optimization technique",,,,,,,,,,,,"CUT",,,,,"other"
"Study and optimization of a solar subcritical organic Rankine cycle",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of oil extraction from olive pomace using response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of a mist chamber (cofer scrubber) for sampling water-soluble organics in air",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal design of batch mass exchange networks with multipurpose exchange units",,,,,,,,,,,,"CUT",,,"too narrow a focus ('batch exchange')",,"other"
"Optimization of hydrothermal treatment of biomass and characterization of liquid product",,,,,,,,,,,,"CUT",,,"can't access",,"other"
"Enhancement photocatalytic activity of ZnO nanoparticles by silver doping with optimization of photodeposition method parameters",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization and characterization of sodium carboxymethyl cellulose with a high degree of substitution prepared from bamboo shavings",,,,,,,,,,,,"CUT",,,,,"other"
"Genetic optimization of multi-plant heat production in district heating networks",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization and modeling of hexavalent chromium removal from aqueous solution via adsorption on multiwalled carbon nanotubes",,,,,,,,,,,,"CUT",,,,,"other"
"Dual-interval two-stage optimization for flood management and risk analyses",,,,,,,,,,,,"CUT",,,,,"other"
"CFD optimization of continuous stirred-tank (CSTR) reactor for biohydrogen production",,,,,,,,,,,,"CUT",,,,,"other"
"Photochemical oxidative decolorization of C. I. basic red 46 by UV/H2O2 process: Optimization using response surface methodology and kinetic modeling",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of evaporative extraction of natural emulsifier cum surfactant from Sapindus mukorossi-Characterization and cost analysis",,,,,,,,,,,,"CUT",,,,,"other"
"Integrating multi-objective optimization with computational fluid dynamics to optimize boiler combustion process of a coal fired power plant",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal processing pathway selection for microalgae-based biorefinery under uncertainty","other","microalgae (as a negative demand!) to various outputs via a superstructure","single","agriculture, biorefinery, transport","none","system","optimise the pathway of microalgae to various outputs (biofuels, animal feed, etc.), e.g. via cultivation, extraction, transesterification etc.","optimisation","MINLP",2,"energy, various","optimise the pathway of microalgae to various outputs (biofuels, animal feed, etc.), e.g. via cultivation, extraction, transesterification etc.","high","sink/source superstructure/pathway optimisation","pathways","region","biomass-* integration"
"Optimization of technological procedure for amygdalin isolation from plum seeds (Pruni domesticae semen)",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal ion beam, target type and size for accelerator driven systems: Implications to the associated accelerator power",,,,,,,,,,,,"CUT",,,,,"other"
"Brine discharge from desalination plants: a modeling approach to an optimized outfall design",,,,,,,,,,,,"CUT",,,,,"other"
"Electrochemical oxidation of landfill leachate in a flow reactor: optimization using response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of struvite fertilizer formation from baker's yeast wastewater: Growth and nutrition of maize and tomato plants",,,,,,,,,,,,"CUT",,,,,"other"
"A generalized optimization model of microbially driven aquatic biogeochemistry based on thermodynamic, kinetic, and stoichiometric ecological theory",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of lignin production from empty fruit bunch via liquefaction with ionic liquid",,,,,,,,,,,,"CUT",,,,,"other"
"Effects of electrophoretic deposition parameters on the photocatalytic activity of TiO2 films: Optimization by response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of the coal flotation procedure using the Plackett-Burman design methodology and kinetic analysis",,,,,,,,,,,,"CUT",,,,,"other"
"Neural optimization of axial- and radial-flow microreactors for hydrogen production by steam reforming of methanol",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of agitation and aeration for very high gravity ethanol fermentation from sweet sorghum juice by saccharomyces cerevisiae using an orthogonal array design",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of bioethanol production from intermediates of sugar beet processing by response surface methodology","fuel production","bioethanol production","single",,"none","plant","optimal parameters for bioethanol from sugar beet processing intermediates","concrete statistical","CUT – response surface methodology, experimental",2,"energy, waste","optimal parameters for bioethanol from sugar beet processing intermediates","low","operating conditions","plant","plant","other"
"Optimized graphene oxide foam with enhanced performance and high selectivity for mercury removal from water",,,,,,,,,,,,"CUT",,,,,"other"
"Response surface methodology optimization of nickel (II) removal using pigeon pea pod biosorbent",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of the process parameters for the removal of reactive yellow dye by the low cost Setaria verticillata carbon using response surface methodology: Thermodynamic, kinetic, and equilibrium studies",,,,,,,,,,,,"CUT",,,,,"other"
"Artificial intelligence based modeling and optimization of poly(3-hydroxybutyrate-co-3-hydroxyvalerate) production process by using Azohydromonas lata MTCC 2311 from cane molasses supplemented with volatile fatty acids: A genetic algorithm paradigm",,,,,,,,,,,,"CUT",,,,,"other"
"Scale-up of a dye adsorption process using chemically modified rice husk: Optimization using response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Application of response surface methodology (RSM) for optimization of color removal from POME by granular activated carbon",,,,,,,,,,,,"CUT",,,,,"other"
"Applying a multi-criteria genetic algorithm framework for brownfield reuse optimization: Improving redevelopment options based on stakeholder preferences",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal operating conditions for maximum biogas production in anaerobic bioreactors","fuel production","biogas production","single",,"none","plant","optimal parameters for biogas production from waste","concrete statistical","FORTRAN solution to system of ODEs",2,"energy, waste","optimal parameters for biogas production from waste","low","operating conditions","plant","plant","other"
"Sustainability assessment for biodiesel production via fuzzy optimisation during research and development (R&D) stage",,,,,,,,,,,,"CUT",,,,,"other"
"Central composite design optimization of biological dye removal in the presence of macroalgae Chara sp",,,,,,,,,,,,"CUT",,,,,"other"
"Process optimization for microwave-assisted direct liquefaction of Sargassum polycystum C. Agardh using response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Yield optimization and rational function modelling of enzymatic hydrolysis of wheat straw pretreated by NaOH-delignification, autohydrolysis and their combination",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal regulations for sustainable chemical manufacturing",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization, kinetic and thermodynamic studies for removal of Brilliant Red (X-3B) using Tannin gel",,,,,,,,,,,,"CUT",,,,,"other"
"TSI metamodels-based multi-objective robust optimization",,,,,,,,,,,,"CUT",,,,,"other"
"Application of robust optimization in matrix-based LCI for decision making under uncertainty",,,,,,,,,,,,"CUT",,,,,"other"
"Mathematical modelling and optimization of hydrogen continuous production in a fixed bed bioreactor","fuel production","hydrogen production","single",,"none","plant","optimal parameters for hydrogen production from agro-industrial waste by-products","concrete",,2,"energy, waste","optimal parameters for hydrogen production from agro-industrial waste by-products","low","operating conditions","plant","plant","other"
"Optimization of the operations conditions in membrane bioreactors through the use of ASM3 model simulations",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization and evaluation of an air-recirculated stripping for ammonia removal from the anaerobic digestate of pig manure",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of continuous hydrogen production from co-fermenting molasses with liquid swine manure in an anaerobic sequencing batch reactor","fuel production","hydrogen production","single",,"none","plant","optimal parameters for hydrogen production from wastes, by anaerobic digestion","optimisation","Unknown mathematical programme",2,"energy, waste","optimal parameters for hydrogen production from wastes, by anaerobic digestion","low","operating conditions","plant (multiple components)","plant (multiple components)","other"
"Process optimisation of porous carbon preparation from date palm pits and adsorption kinetics of methylene blue",,,,,,,,,,,,"CUT",,,,,"other"
"Multi-objective optimization of VOC recovery and reuse in crude oil loading",,,,,,,,,,,,"CUT",,,"Not our focus (crude oil tanker)",,"other"
"Fenton and photo-Fenton treatment of distillery effluent and optimization of treatment conditions with response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Modeling, instrumentation, automation, and optimization of wastewater treatment facilities",,,,,,,,,,,,"CUT",,,,,"other"
"A CFD (computational fluid dynamics) study for optimization of gas injector orientation for performance improvement of a dual-fuel diesel engine",,,,,,,,,,,,"CUT",,,,,"other"
"Response surface methodology for the optimization of the electrochemical degradation of phenol on Pb/Pbo 2 electrode",,,,,,,,,,,,"CUT",,,,,"other"
"Analysis of effective diffusivity of sludge in superheated steam drying based on Fourier number method and optimization method",,,,,,,,,,,,"CUT",,,,,"other"
"Focusing on the optimization for scale up in airlift bioreactors and the production of Chlamydomonas Reinhardtii as a model microorganism | Hava kaldi{dotless}rmali{dotless} biyoreakt√∂rlerin √∂l√ßek b√ºy√ºtme s√ºrecinde optimizasyon ve model mikroorganizma olarak Chlamydomonas Reinhardtii √ºretimi",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of sono-assisted dilute sulfuric acid process for simultaneous pretreatment and saccharification of rice straw",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization and characterization of sliced activated carbon prepared from date palm tree fronds by physical activation",,,,,,,,,,,,"CUT",,,,,"other"
"Adsorption optimization of acyclovir on prepared activated carbon",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of biomethane production by anaerobic digestion of palm oil mill effluent using response surface methodology","fuel production","biomethane production","single",,"none","plant","optimal parameters for biomethane production from palm oil mill effluent","concrete statistical","CUT – response surface methodology, experimental",2,"energy, waste","optimal parameters for biomethane production from palm oil mill effluent","low","operating conditions","plant","plant","other"
"Exergetic optimization of basic system components for maximizing exergetic efficiency of solar combisystems by using response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Study on flow parameters optimisation for marine gas turbine intercooler system based on simulation experiment",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of levulinic acid from lignocellulosic biomass using a new hybrid catalyst",,,,,,,,,,,,"CUT",,,,,"other"
"Multiobjective optimisation of production, distribution and capacity planning of global supply chains in the process industry","other","generally define global agrochemical supply chain","single","agriculture, biorefinery, transport","integrated","system","Generally defined. Global agrochemical supply chain optmisation (production, distribution, capacity expansion)","optimisation","MILP",1,"various","Global agrochemical supply chain optmisation (production, distribution, capacity expansion)","high","sink/source superstructure/pathway optimisation","global","global","other"
"Microwave-Assisted Extraction of Wax from Oily Sludge: An Experimental Study and its Process Variables Optimization Using Response Surface Methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Challenges in the new millennium: Product discovery and design, enterprise and supply chain optimization, global life cycle assessment",,,,,,,,,,,,"CUT",,,,,"other"
"Composite sorbent of methanol "" LiCl in mesoporous silica gel"" for adsorption cooling: Dynamic optimization",,,,,,,,,,,,"CUT",,,,,"other"
"Thermodynamic analysis and optimization of the Brayton process in a heat recovery system of paper machines",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of C.I. Acid Red 14 azo dye removal by electrocoagulation batch process with response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal cultivation of simultaneous ammonium and phosphorus removal aerobic granular sludge in A/O/A sequencing batch reactor and the assessment of functional organisms",,,,,,,,,,,,"CUT",,,,,"other"
"A conceptual approach on downwind optimization of processes for air pollution control",,,,,,,,,,,,"CUT",,,,,"other"
"Enzymatic hydrolysis optimization of microwave alkali pretreated wheat straw and ethanol production by yeast",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of Spongiochloris sp. biomass production in the abattoir digestate",,,,,,,,,,,,"CUT",,,,,"other"
"Biomass supply chain optimisation via novel Biomass Element Life Cycle Analysis (BELCA)",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal design and operation of a syngas-fuelled SOFC micro-CHP system for residential applications in different climate zones in China",,,,,,,,,,,,"CUT",,,"just domestic",,"other"
"Process optimization of nanocrystalline cellulose from sunflower seed hull and its characterization",,,,,,,,,,,,"CUT",,,,,"other"
"Process optimization of anaerobic fermentation with mixed material of food garbage and cow dung",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal design for anaerobic pretreatment of municipal wastewater",,,,,,,,,,,,"CUT",,,,,"other"
"Bioprocessing of proximally analyzed wheat straw for enhanced cellulase production through process optimization with trichoderma viride under SSF",,,,,,,,,,,,"CUT",,,,,"other"
"Development of green technology for extraction of nickel from spent catalyst and its optimization using response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Response surface optimization of corn stover pretreatment using dilute phosphoric acid for enzymatic hydrolysis and ethanol production",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of technology for hydrogen production by anaerobic fermentation of swine manures","energy","Hydroenergy production","single",,"none","plant","optimal parameters for hydrogen production from swine manures, by anaerobic fermentation","concrete statistical","CUT – response surface methodology, experimental",2,"energy, waste","optimal parameters for hydrogen production from swine manures, by anaerobic fermentation","low","operating conditions","plant (multiple components)","plant (multiple components)","other"
"Induction of low dissolved oxygen limited filamentous bulking and optimization of nitrogen and phosphorus removal",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of heavy metal removal from aqueous solutions by maghemite (Œ≥-Fe2O3) nanoparticles using response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"The mechanism of bed material coating in dual fluidized bed biomass steam gasification plants and its impact on plant optimization",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal design of adsorption chillers based on a validated dynamic object-oriented model",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of raw material mixtures in the production of biodiesel from vegetable and used frying oils regarding quality requirements in terms of cold flow properties","fuel production","biodiesel production","single",,"none","plant","optimal parameters for biodiesel production from waste oils","concrete","CUT – experimental",2,"energy, waste","optimal parameters for biodiesel production from oils","low","operating conditions","plant","plant","other"
"Model optimization of cadmium and accumulation in switchgrass (Panicum virgatum L.): potential use for ecological phytoremediation in Cd-contaminated soils",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of the combustion of SOME (soybean oil methyl ester), B5, B10, B20 and petrodiesel in a semi industrial boiler",,,,,,,,,,,,"CUT",,,,,"other"
"Optimized photocatalytic degradation of Reactive Blue 2 by TiO 2/UV process",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of preparation of microporous activated carbon with high surface area from Spartina alterniflora and its p-nitroaniline adsorption characteristics",,,,,,,,,,,,"CUT",,,,,"other"
"A thermodynamic analysis of high temperature gas-cooled reactors for optimal waste heat recovery and hydrogen production",,,,,,,,,,,,"CUT",,,"just energy sector",,"other"
"Determining optimal growth conditions for the highest biomass microalgae species in lithuanian part of the Curonian Lagoon for further cultivation",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of pretreatment conditions using full factorial design and enzymatic convertibility of shea tree sawdust",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of anaerobic baffled reactor (abr) using artificial neural network in municipal wastewater treatment",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of photo-Fenton process parameters on carbofuran degradation using central composite design",,,,,,,,,,,,"CUT",,,,,"other"
"Optimized preparation for large surface area activated carbon from date (Phoenix dactylifera L.) stone biomass",,,,,,,,,,,,"CUT",,,,,"other"
"The optimization of As(V) removal over mesoporous alumina by using response surface methodology and adsorption mechanism",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of efficiency on partial nitrification under the mode of alternating anoxic/oxic in sequencing batch reactor",,,,,,,,,,,,"CUT",,,,,"other"
"Leveling optimization of resource in construction engineering based on integrated network diagram method and genetic algorithm",,,,,,,,,,,,"CUT",,,,,"other"
"Artificial neural network-genetic algorithm based optimization for the adsorption of phenol red (PR) onto gold and titanium dioxide nanoparticles loaded on activated carbon",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of free fatty acids reduction in Calophyllum inophyllum (pinnai) oil using modified zirconia catalyst for biodiesel production",,,,,,,,,,,,"CUT",,,,,"other"
"Parameter optimization of activated carbon production from agave sisalana and punica granatum peel: Adsorbents for C.I. reactive orange 4 removal from aqueous solution",,,,,,,,,,,,"CUT",,,,,"other"
"Acid hydrolysis of corn stover using hydrochloric acid: Kinetic modeling and statistical optimization | Kisela hidroliza kukuruzovine pomoƒÜu hlorovodoniƒåne kiseline: kinetiƒåko modelovanje i statistiƒåka optimizacija",,,,,,,,,,,,"CUT",,,,,"other"
"An optimized pathway for phosphate ions removal from aqueous solution based on experimental design methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Reactive Red 15 biosorption on oil-tea cake: Optimization using response surface methodology and mechanism",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of hydrogen production in in-situ catalytic adsorption (ICA) steam gasification based on response surface methodology","fuel production","hydrogen production","single",,"none","plant","optimal parameters for hydrogen production from biomass gasification","concrete statistical","CUT – response surface methodology, experimental",2,"energy, various","optimal parameters for hydrogen production from biomass","low","operating conditions","plant","plant","other"
"Optimized and functionalized paper sludge activated with potassium fluoride for single and binary adsorption of reactive dyes",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization and evaluation of CBSOL LE red wool dye adsorption from aqueous solution onto commercial activated carbon",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of fertilization rate for maximizing periphyton production on artificial substrates and the implications for periphyton-based aquaculture",,,,,,,,,,,,"CUT",,,,,"other"
"Making adsorptive chillers faster by a proper choice of adsorption isobar shape: Comparison of optimal and real adsorbents",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of alternative options for SO2 emissions control in the Mexican electrical sector",,,,,,,,,,,,"CUT",,,,,"other"
"Using D-optimal experimental design to optimise remazol black B mineralisation by Fenton-like peroxidation",,,,,,,,,,,,"CUT",,,,,"other"
"Mixed integer optimal control of an intermittently aerated sequencing batch reactor for wastewater treatment",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of ultrasonic reactor geometry for biodiesel production using response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of greenhouse substrate heating",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of the Removal of Copper(II) Ions from Aqueous Solution on Chitosan and Cross-Linked Chitosan Beads",,,,,,,,,,,,"CUT",,,,,"other"
"Biosorption of ammoniacal nitrogen from aqueous solutions with low-cost biomaterials: Kinetics and optimization of contact time",,,,,,,,,,,,"CUT",,,,,"other"
"A decision support system for ore blending cost optimization problem of blast furnaces",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of butanol production from corn straw hydrolysate by Clostridium acetobutylicum using response surface method","fuel production","butanol production","single",,"none","plant","optimal parameters for butanol production from corn stalk","concrete statistical","CUT – response surface methodology, experimental",2,"energy, waste","optimal parameters for hydrogen production from corn stalk","low","operating conditions","plant","plant","other"
"Application of an inverse neural network model for the identification of optimal amendment to reduce copper toxicity in phytoremediated contaminated soils",,,,,,,,,,,,"CUT",,,,,"other"
"Determination of optimal conditions for 5-methyl-benzotriazole biodegradation with activated sludge communities by dilution of the inoculum",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of a log wood boiler through CFD simulation methods",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of microwave-assisted extraction of polyphenols from Quercus bark",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of alkali, big bluestem particle size, and extruder parameters for maximum enzymatic sugar recovery using response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Response surface modeling and optimization of microcystin-LR removal from aqueous phase by polyacrylamide/sodium alginate‚Äìmontmorillonite superabsorbent nanocomposite",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization analysis of convective-radiative longitudinal fins with temperature-dependent properties and different section shapes and materials",,,,,,,,,,,,"CUT",,,,,"other"
"Continuous production of biodiesel with supercritical methanol: Optimization of a scale-up plug flow reactor by response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of multiple-effect evaporation in the pulp and paper industry using response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal economic strategy for the multiperiod design and long-term operation of natural gas combined cycle power plants",,,,,,,,,,,,"CUT",,,,,"other"
"Field synergy analysis and optimization of the convective mass transfer in photocatalytic oxidation reactors",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of catalytic glycerol steam reforming to light olefins using Cu/ZSM-5 catalyst",,,,,,,,,,,,"CUT",,,,,"other"
"A modeling framework for maintenance optimization of electrical components based on fuzzy logic and effective age",,,,,,,,,,,,"CUT",,,,,"other"
"Design and control optimization of microclimate liquid cooling systems underneath protective clothing",,,,,,,,,,,,"CUT",,,,,"other"
"An integrated site characterization-to-optimization study for commercial-scale carbon dioxide storage",,,,,,,,,,,,"CUT",,,,,"other"
"Taguchi approach for co-gasification optimization of torrefied biomass and coal",,,,,,,,,,,,"CUT",,,"just energy (co-gasification of biomass and coal)",,"other"
"Optimal operation strategy of batch vacuum distillation for sulfuric acid recycling process",,,,,,,,,,,,"CUT",,,,,"other"
"Recovering urea from human urine by bio-sorption onto Microwave Activated Carbonized Coconut Shells: Equilibrium, kinetics, optimization and field studies",,,,,,,,,,,,"CUT",,,,,"other"
"An optimal design analysis method for heat recovery devices in building applications",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of physical parameters for batch mode Zn (II) ion removal from liquid phase: A potential biosorption study",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization and kinetic study of Fenton process for treatment of landfill leachate",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of biodiesel production by supercritical methyl acetate",,,,,,,,,,,,"CUT",,,,,"other"
"Modelling and optimization of xylose and glucoseproduction from napier grass using hybrid pre-treatment techniques",,,,,,,,,,,,"CUT",,,,,"other"
"Removal of xylenol orange from its aqueous solution using SDS self-microemulsifying systems: Optimization by Box-Behnken statistical design",,,,,,,,,,,,"CUT",,,,,"other"
"Life-cycle costs and emissions of pareto-optimal residential roof-mounted photovoltaic systems",,,,,,,,,,,,"CUT",,,,,"other"
"Assessment and optimization of an ultrasound-assisted washing process using organic solvents for polychlorinated biphenyl-contaminated soil",,,,,,,,,,,,"CUT",,,,,"other"
"A framework for the optimal multicriteria design of networks of small hydro turbines in polluted streams","energy","energy","energy",,,,"optimal network of small hydroturbines (rivers)","unknown","CUT – can't accesss",2,"energy, water","CUT",,,"to meed local demand (for a town), but ","city","energy-* integration"
"An optimization study on transesterification catalyzed by the activated carbide slag through the response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"A two-stage optimal planning and design method for combined cooling, heat and power microgrid system",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of drying of low-grade coal with high moisture content using a disc dryer",,,,,,,,,,,,"CUT",,,,,"other"
"Application of taguchi methods for the optimization of factors affecting engine performance and emission of exhaust gas recirculation in steam-injected diesel engines",,,,,,,,,,,,"CUT",,,,,"other"
"Response surface method and genetic algorithm assisted optimal synthesis of biodiesel from high free fatty acid sal oil (Shorea robusta) using ion-exchange resin at high temperature",,,,,,,,,,,,"CUT",,,,,"other"
"A Parallel Computing Framework for Finding the Supported Solutions to a Biobjective Network Optimization Problem",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of high surface area activated carbon production from Enteromorpha prolifra with low-dose activating agent",,,,,,,,,,,,"CUT",,,,,"other"
"The use of simulation modelling for optimisation of phosphorus removal in sewage treatment under varying influent loading",,,,,,,,,,,,"CUT",,,,,"other"
"A multi-criteria approach for the optimal selection of working fluid and design parameters in Organic Rankine Cycle systems",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of saccharification of sweet sorghum bagasse using response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of the production parameters of octyl ester biolubricant using Taguchi's design method and physico-chemical characterization of the product",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of preparation of activated carbon from cotton stalk by microwave assisted phosphoric acid-chemical activation",,,,,,,,,,,,"CUT",,,,,"other"
"Optimized alkaline pretreatment of sludge before anaerobic digestion",,,,,,,,,,,,"CUT",,,,,"other"
"Adsorption Optimization of Lead (II) Using Saccharum Bengalense as a Non-Conventional Low Cost Biosorbent: Isotherm and Thermodynamics Modeling",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of thermal performance in a Chinese traditional heating system - Burning cave",,,,,,,,,,,,"CUT",,,,,"other"
"Global against divided optimization for the participation of an EV aggregator in the day-ahead electricity market. Part II: Numerical analysis",,,,,,,,,,,,"CUT",,,,,"other"
"Removal and recovery of Ni(II) ions from synthetic wastewater using surface modified Strychnos potatorum seeds: experimental optimization and mechanism",,,,,,,,,,,,"CUT",,,,,"other"
"Landfill leachate treatment using an electrochemical technique: An optimized process",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of the methods of nonpolluting biomineral fertilizers production",,,,,,,,,,,,"CUT",,,,,"other"
"Optimized photodegradation of reactive blue 19 on TiO2 and ZnO suspensions",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal working pairs for solar adsorption cooling applications",,,,,,,,,,,,"CUT",,,,,"other"
"Agronomy towards the Green Economy. Optimization of metal phytoextraction",,,,,,,,,,,,"CUT",,,,,"other"
"Parameters optimization of sludge electroosmosis dewatering through response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Equilibrium solubility of carbon dioxide in aqueous blend of monoethanolamine (MEA) and 2-1-piperazinyl-ethylamine (PZEA) solutions: Experimental and optimization study",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of dilute-phosphoric-acid steam pretreatment of Eucalyptus benthamii for biofuel production",,,,,,,,,,,,"CUT",,,,,"other"
"Design of optimal groundwater remediation systems under flexible environmental-standard constraints",,,,,,,,,,,,"CUT",,,,,"other"
"Systematic description of direct push sensor systems: A conceptual framework for system decomposition as a basis for the optimal sensor system design",,,,,,,,,,,,"CUT",,,,,"other"
"Decolorization of malachite green dye from wastewater by populus deltoides: Three-level Box-Behnken design optimization, equilibrium, and kinetic studies",,,,,,,,,,,,"CUT",,,,,"other"
"Performance optimization analyses and parametric design criteria of a dye-sensitized solar cell thermoelectric hybrid device",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of the TiO<inf>2</inf>/Ge composition by the response surface method of photocatalytic degradation under ultraviolet-A irradiation and the toxicity reduction of amoxicillin",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal adsorbent for adsorptive heat transformers: Dynamic considerations",,,,,,,,,,,,"CUT",,,,,"other"
"On simulation and optimization of one natural gas industry system under the rough environment",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of brilliant green biosorption by native and acid-activated watermelon rind as low-cost adsorbent",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of emergy sustainability index for biodiesel supply network design",,,,,,,,,,,,"CUT",,,"sustainability index, rather than optimal design",,"other"
"Design and optimization of simultaneous biosorption and bioaccumulation (SBB) system: A potential method for removal of Zn(II) ion from liquid phase",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of Microencapsulation of Fish Oil with Gum Arabic/Casein/Beta-Cyclodextrin Mixtures by Spray Drying",,,,,,,,,,,,"CUT",,,,,"other"
"Computational modelling of the condensation of fast pyrolysis vapours in a quenching column. Part A: Hydrodynamics, heat transfer and design optimisation",,,,,,,,,,,,"CUT",,,,,"other"
"Modelling and optimization of syngas production from methane dry reforming over ceria-supported cobalt catalyst using artificial neural networks and Box-Behnken design",,,,,,,,,,,,"CUT",,,,,"other"
"New approach for optimal electricity planning and dispatching with hourly time-scale air quality and health considerations",,,,,,,,,,,,"CUT",,,,,"other"
"Evaluation and optimization of single stage absorption chiller using (LiCl + H2O) as the working pair",,,,,,,,,,,,"CUT",,,,,"other"
